date,fear_greed_score,sentiment_label
2024-06-19,64,Greed
2024-06-20,60,Greed
2024-06-21,63,Greed
2024-06-22,53,Neutral
2024-06-23,55,Greed
2024-06-24,51,Neutral
2024-06-25,30,Fear
2024-06-26,46,Fear
2024-06-27,40,Fear
2024-06-28,47,Neutral
2024-06-29,30,Fear
2024-06-30,47,Neutral
2024-07-01,53,Neutral
2024-07-02,51,Neutral
2024-07-03,50,Neutral
2024-07-04,44,Fear
2024-07-05,29,Fear
2024-07-06,26,Fear
2024-07-07,29,Fear
2024-07-08,28,Fear
2024-07-09,27,Fear
2024-07-10,28,Fear
2024-07-11,29,Fear
2024-07-12,25,Extreme Fear
2024-07-13,25,Extreme Fear
2024-07-14,33,Fear
2024-07-15,52,Neutral
2024-07-16,65,Greed
2024-07-17,69,Greed
2024-07-18,61,Greed
2024-07-19,60,Greed
2024-07-20,74,Greed
2024-07-21,74,Greed
2024-07-22,70,Greed
2024-07-23,71,Greed
2024-07-24,69,Greed
2024-07-25,68,Greed
2024-07-26,68,Greed
2024-07-27,72,Greed
2024-07-28,71,Greed
2024-07-29,74,Greed
2024-07-30,67,Greed
2024-07-31,61,Greed
2024-08-01,52,Neutral
2024-08-02,57,Greed
2024-08-03,37,Fear
2024-08-04,34,Fear
2024-08-05,26,Fear
2024-08-06,17,Extreme Fear
2024-08-07,29,Fear
2024-08-08,20,Extreme Fear
2024-08-09,48,Neutral
2024-08-10,40,Fear
2024-08-11,39,Fear
2024-08-12,25,Extreme Fear
2024-08-13,31,Fear
2024-08-14,30,Fear
2024-08-15,29,Fear
2024-08-16,27,Fear
2024-08-17,25,Extreme Fear
2024-08-18,31,Fear
2024-08-19,28,Fear
2024-08-20,30,Fear
2024-08-21,26,Fear
2024-08-22,39,Fear
2024-08-23,34,Fear
2024-08-24,56,Greed
2024-08-25,54,Neutral
2024-08-26,55,Greed
2024-08-27,48,Neutral
2024-08-28,30,Fear
2024-08-29,29,Fear
2024-08-30,34,Fear
2024-08-31,29,Fear
2024-09-01,26,Fear
2024-09-02,26,Fear
2024-09-03,26,Fear
2024-09-04,27,Fear
2024-09-05,29,Fear
2024-09-06,22,Extreme Fear
2024-09-07,23,Extreme Fear
2024-09-08,29,Fear
2024-09-09,26,Fear
2024-09-10,33,Fear
2024-09-11,37,Fear
2024-09-12,31,Fear
2024-09-13,32,Fear
2024-09-14,50,Neutral
2024-09-15,51,Neutral
2024-09-16,39,Fear
2024-09-17,33,Fear
2024-09-18,45,Fear
2024-09-19,49,Neutral
2024-09-20,54,Neutral
2024-09-21,54,Neutral
2024-09-22,52,Neutral
2024-09-23,50,Neutral
2024-09-24,54,Neutral
2024-09-25,59,Greed
2024-09-26,50,Neutral
2024-09-27,61,Greed
2024-09-28,64,Greed
2024-09-29,63,Greed
2024-09-30,61,Greed
2024-10-01,50,Neutral
2024-10-02,42,Fear
2024-10-03,37,Fear
2024-10-04,41,Fear
2024-10-05,49,Neutral
2024-10-06,50,Neutral
2024-10-07,50,Neutral
2024-10-08,49,Neutral
2024-10-09,49,Neutral
2024-10-10,39,Fear
2024-10-11,32,Fear
2024-10-12,49,Neutral
2024-10-13,50,Neutral
2024-10-14,48,Neutral
2024-10-15,65,Greed
2024-10-16,73,Greed
2024-10-17,71,Greed
2024-10-18,73,Greed
2024-10-19,72,Greed
2024-10-20,73,Greed
2024-10-21,72,Greed
2024-10-22,70,Greed
2024-10-23,71,Greed
2024-10-24,69,Greed
2024-10-25,72,Greed
2024-10-27,74,Greed
2024-10-28,72,Greed
2024-10-29,72,Greed
2024-10-30,77,Extreme Greed
2024-10-31,77,Extreme Greed
2024-11-01,75,Greed
2024-11-02,72,Greed
2024-11-03,74,Greed
2024-11-04,70,Greed
2024-11-05,70,Greed
2024-11-06,70,Greed
2024-11-07,77,Extreme Greed
2024-11-08,75,Greed
2024-11-09,75,Greed
2024-11-10,78,Extreme Greed
2024-11-11,76,Extreme Greed
2024-11-12,80,Extreme Greed
2024-11-13,84,Extreme Greed
2024-11-14,88,Extreme Greed
2024-11-15,80,Extreme Greed
2024-11-16,86,Extreme Greed
2024-11-17,90,Extreme Greed
2024-11-18,83,Extreme Greed
2024-11-19,90,Extreme Greed
2024-11-20,83,Extreme Greed
2024-11-21,82,Extreme Greed
2024-11-22,94,Extreme Greed
2024-11-23,93,Extreme Greed
2024-11-24,80,Extreme Greed
2024-11-25,82,Extreme Greed
2024-11-26,79,Extreme Greed
2024-11-27,75,Greed
2024-11-28,77,Extreme Greed
2024-11-29,78,Extreme Greed
2024-11-30,84,Extreme Greed
2024-12-01,81,Extreme Greed
2024-12-02,80,Extreme Greed
2024-12-03,76,Extreme Greed
2024-12-04,78,Extreme Greed
2024-12-05,84,Extreme Greed
2024-12-06,72,Greed
2024-12-07,75,Greed
2024-12-08,79,Extreme Greed
2024-12-09,78,Extreme Greed
2024-12-10,78,Extreme Greed
2024-12-11,74,Greed
2024-12-12,83,Extreme Greed
2024-12-13,76,Extreme Greed
2024-12-14,83,Extreme Greed
2024-12-15,80,Extreme Greed
2024-12-16,83,Extreme Greed
2024-12-17,87,Extreme Greed
2024-12-18,81,Extreme Greed
2024-12-19,75,Greed
2024-12-20,74,Greed
2024-12-21,73,Greed
2024-12-22,73,Greed
2024-12-23,70,Greed
2024-12-24,73,Greed
2024-12-25,73,Greed
2024-12-26,79,Extreme Greed
2024-12-27,74,Greed
2024-12-28,72,Greed
2024-12-29,73,Greed
2024-12-30,65,Greed
2024-12-31,64,Greed
2025-01-01,66,Greed
2025-01-02,70,Greed
2025-01-03,74,Greed
2025-01-04,73,Greed
2025-01-05,72,Greed
2025-01-06,76,Extreme Greed
2025-01-07,78,Extreme Greed
2025-01-08,70,Greed
2025-01-09,69,Greed
2025-01-10,50,Neutral
2025-01-11,69,Greed
2025-01-12,62,Greed
2025-01-13,61,Greed
2025-01-14,63,Greed
2025-01-15,70,Greed
2025-01-16,75,Greed
2025-01-17,75,Greed
2025-01-18,77,Extreme Greed
2025-01-19,77,Extreme Greed
2025-01-20,76,Extreme Greed
2025-01-21,76,Extreme Greed
2025-01-22,84,Extreme Greed
2025-01-23,75,Greed
2025-01-24,75,Greed
2025-01-25,75,Greed
2025-01-26,73,Greed
2025-01-27,71,Greed
2025-01-28,72,Greed
2025-01-29,72,Greed
2025-01-30,70,Greed
2025-01-31,76,Extreme Greed
2025-02-01,68,Greed
2025-02-02,60,Greed
2025-02-03,44,Fear
2025-02-04,72,Greed
2025-02-05,54,Neutral
2025-02-06,49,Neutral
2025-02-07,44,Fear
2025-02-08,44,Fear
2025-02-09,46,Fear
2025-02-10,43,Fear
2025-02-11,47,Neutral
2025-02-12,46,Fear
2025-02-13,50,Neutral
2025-02-14,48,Neutral
2025-02-15,50,Neutral
2025-02-16,54,Neutral
2025-02-17,51,Neutral
2025-02-18,47,Neutral
2025-02-19,44,Fear
2025-02-20,49,Neutral
2025-02-21,55,Greed
2025-02-22,49,Neutral
2025-02-23,50,Neutral
2025-02-24,49,Neutral
2025-02-25,25,Extreme Fear
2025-02-26,21,Extreme Fear
2025-02-27,10,Extreme Fear
2025-02-28,16,Extreme Fear
2025-03-01,20,Extreme Fear
2025-03-02,26,Fear
2025-03-03,33,Fear
2025-03-04,15,Extreme Fear
2025-03-05,20,Extreme Fear
2025-03-06,25,Extreme Fear
2025-03-07,34,Fear
2025-03-08,28,Fear
2025-03-09,27,Fear
2025-03-10,20,Extreme Fear
2025-03-11,24,Extreme Fear
2025-03-12,34,Fear
2025-03-13,45,Fear
2025-03-14,27,Fear
2025-03-15,46,Fear
2025-03-16,30,Fear
2025-03-17,32,Fear
2025-03-18,34,Fear
2025-03-19,32,Fear
2025-03-20,49,Neutral
2025-03-21,31,Fear
2025-03-22,32,Fear
2025-03-23,30,Fear
2025-03-24,45,Fear
2025-03-25,46,Fear
2025-03-26,47,Neutral
2025-03-27,40,Fear
2025-03-28,44,Fear
2025-03-29,26,Fear
2025-03-30,32,Fear
2025-03-31,34,Fear
2025-04-01,34,Fear
2025-04-02,44,Fear
2025-04-03,25,Extreme Fear
2025-04-04,28,Fear
2025-04-05,30,Fear
2025-04-06,34,Fear
2025-04-07,23,Extreme Fear
2025-04-08,24,Extreme Fear
2025-04-09,18,Extreme Fear
2025-04-10,39,Fear
2025-04-11,25,Extreme Fear
2025-04-12,43,Fear
2025-04-13,45,Fear
2025-04-14,31,Fear
2025-04-15,38,Fear
2025-04-16,29,Fear
2025-04-17,30,Fear
2025-04-18,33,Fear
2025-04-19,32,Fear
2025-04-20,37,Fear
2025-04-21,39,Fear
2025-04-22,47,Neutral
2025-04-23,72,Greed
2025-04-24,63,Greed
2025-04-25,60,Greed
2025-04-26,65,Greed
2025-04-27,61,Greed
2025-04-28,54,Neutral
2025-04-29,60,Greed
2025-04-30,56,Greed
2025-05-01,53,Neutral
2025-05-02,67,Greed
2025-05-03,65,Greed
2025-05-04,64,Greed
2025-05-05,52,Neutral
2025-05-06,59,Greed
2025-05-07,67,Greed
2025-05-08,65,Greed
2025-05-09,73,Greed
2025-05-10,70,Greed
2025-05-11,70,Greed
2025-05-12,70,Greed
2025-05-13,70,Greed
2025-05-14,73,Greed
2025-05-15,70,Greed
2025-05-16,71,Greed
2025-05-17,74,Greed
2025-05-18,74,Greed
2025-05-19,74,Greed
2025-05-20,71,Greed
2025-05-21,70,Greed
2025-05-22,72,Greed
2025-05-23,78,Extreme Greed
2025-05-24,66,Greed
2025-05-25,74,Greed
2025-05-26,73,Greed
2025-05-27,74,Greed
2025-05-28,71,Greed
2025-05-29,74,Greed
2025-05-30,60,Greed
2025-05-31,50,Neutral
2025-06-01,56,Greed
2025-06-02,64,Greed
2025-06-03,64,Greed
2025-06-04,62,Greed
2025-06-05,57,Greed
2025-06-06,45,Fear
2025-06-07,52,Neutral
2025-06-08,62,Greed
2025-06-09,62,Greed
2025-06-10,71,Greed
2025-06-11,72,Greed
2025-06-12,71,Greed
2025-06-13,61,Greed
2025-06-14,63,Greed
2025-06-15,60,Greed
2025-06-16,61,Greed
2025-06-17,68,Greed
2025-06-18,52,Neutral
2025-06-19,57,Greed
